0,92,67
1,91,68
2,90,65
3,90,65
4,93,66
5,90,65
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,91,62
14,92,61
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,99,50
32,99,50
33,99,50
34,100,50
35,102,54
36,102,54
37,101,50
38,101,50
39,100,54
40,100,51
41,98,54
42,96,55
43,92,55
44,94,54
45,85,59
46,84,61
47,79,61
48,77,62
49,76,60
50,73,61
51,69,63
52,65,65
53,64,72
54,55,68
55,54,69
56,55,66
57,56,65
58,57,64
59,59,64
60,61,64
61,63,64
62,64,64
63,65,65
64,65,65
65,64,64
66,64,65
67,66,70
68,69,71
69,63,66
70,63,66
71,65,66
72,69,65
73,66,62
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,110,45
91,112,45
92,117,48
93,117,47
94,117,45
95,117,45
96,117,45
97,117,45
98,116,45
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,102,51
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,77,49
138,77,47
139,78,50
140,80,48
141,80,48
142,81,49
143,81,49
144,83,49
145,83,49
146,85,49
147,85,49
148,85,49
149,84,49
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,84,50
162,84,51
163,84,51
164,84,52
165,85,52
166,86,53
167,86,54
168,85,53
169,87,56
170,87,55
171,87,59
172,87,58
173,87,58
174,87,58
175,89,61
176,88,61
177,88,60
178,88,60
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,93,58
186,97,61
187,95,59
188,97,60
189,98,61
190,106,66
191,104,64
192,110,71
193,111,71
194,110,67
195,112,68
196,114,70
197,117,70
198,119,72
199,121,73
200,123,74
201,125,75
202,127,76
203,128,76
204,130,75
205,131,74
206,133,72
207,135,69
208,135,67
209,135,64
210,133,61
211,129,59
212,124,56
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,87,61
234,90,61
235,93,62
236,95,63
237,98,63
238,99,63
239,98,68
240,102,63
241,103,63
242,103,63
243,104,62
244,104,62
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
